primary_key,store_id,store_name,chain,region,product_id,product_name,brand,size,price,category
new_world_newmarket_5019426-EA-000,51ee2a79-4693-410c-9287-66940847736d,New World Newmarket,New World,Central Auckland,5019426-EA-000,Streaky Bacon,Pams,250g,6.99,Pork & Ham
new_world_newmarket_5037815-EA-000,51ee2a79-4693-410c-9287-66940847736d,New World Newmarket,New World,Central Auckland,5037815-EA-000,Streaky Bacon,Pams,500g,11.49,Pork & Ham
new_world_newmarket_5084510-EA-000,51ee2a79-4693-410c-9287-66940847736d,New World Newmarket,New World,Central Auckland,5084510-EA-000,Streaky Bacon,Pams,1kg,20.99,Pork & Ham
new_world_newmarket_5033086-EA-000,51ee2a79-4693-410c-9287-66940847736d,New World Newmarket,New World,Central Auckland,5033086-EA-000,Manuka Smoked Streaky Bacon,Grandpa's Meat & Bacon Co.,250g,8.29,Pork & Ham
new_world_newmarket_5309836-EA-000,51ee2a79-4693-410c-9287-66940847736d,New World Newmarket,New World,Central Auckland,5309836-EA-000,Streaky Bacon,Beehive,800g,21.79,Pork & Ham
new_world_newmarket_5110088-KGM-000,51ee2a79-4693-410c-9287-66940847736d,New World Newmarket,New World,Central Auckland,5110088-KGM-000,Champagne Leg Ham,,kg,22.0,Pork & Ham
new_world_newmarket_5023557-EA-000,51ee2a79-4693-410c-9287-66940847736d,New World Newmarket,New World,Central Auckland,5023557-EA-000,Shaved Champagne Ham,Beehive,200g,7.69,Pork & Ham
new_world_newmarket_5241237-EA-000,51ee2a79-4693-410c-9287-66940847736d,New World Newmarket,New World,Central Auckland,5241237-EA-000,Shaved Champagne Leg Ham,Hellers,200g,7.0,Pork & Ham
new_world_newmarket_5039342-EA-000,51ee2a79-4693-410c-9287-66940847736d,New World Newmarket,New World,Central Auckland,5039342-EA-000,Shaved Champagne Leg Ham,Hellers,100g,4.29,Pork & Ham
new_world_newmarket_5013751-EA-000,51ee2a79-4693-410c-9287-66940847736d,New World Newmarket,New World,Central Auckland,5013751-EA-000,Shaved Champagne Ham,Beehive,100g,5.19,Pork & Ham
new_world_newmarket_5312237-EA-000,51ee2a79-4693-410c-9287-66940847736d,New World Newmarket,New World,Central Auckland,5312237-EA-000,Classic Beef Sausages,Pams,6 x 75g,9.49,Beef & Lamb
new_world_newmarket_5252611-EA-000,51ee2a79-4693-410c-9287-66940847736d,New World Newmarket,New World,Central Auckland,5252611-EA-000,Beef Manuka Honey & Hickory Sausages,Harmony,450g,11.99,"Breakfast Cereals, Oats & Spreads"
new_world_newmarket_5082985-EA-000,51ee2a79-4693-410c-9287-66940847736d,New World Newmarket,New World,Central Auckland,5082985-EA-000,Craft Angus Beef Sausages,Hellers,6pk,12.99,Beef & Lamb
new_world_newmarket_5005864-EA-000,51ee2a79-4693-410c-9287-66940847736d,New World Newmarket,New World,Central Auckland,5005864-EA-000,Chunky Cheese Sausages,Hellers,1kg,13.49,"Cheese, Butter & Yoghurt"
new_world_newmarket_5242833-EA-000,51ee2a79-4693-410c-9287-66940847736d,New World Newmarket,New World,Central Auckland,5242833-EA-000,Lamb & Rosemary Sausages,Harmony,450g,11.99,Beef & Lamb
new_world_newmarket_5220975-EA-000,51ee2a79-4693-410c-9287-66940847736d,New World Newmarket,New World,Central Auckland,5220975-EA-000,Sliced Smoked Salmon,Pams,100g,9.79,Fresh Seafood
new_world_newmarket_5220977-EA-000,51ee2a79-4693-410c-9287-66940847736d,New World Newmarket,New World,Central Auckland,5220977-EA-000,Sliced Smoked Salmon,Pams,200g,14.79,Fresh Seafood
new_world_newmarket_5313293-EA-000,51ee2a79-4693-410c-9287-66940847736d,New World Newmarket,New World,Central Auckland,5313293-EA-000,Double Manuka Hot Smoked Salmon Portion,Regal,100g,13.99,Fresh Seafood
new_world_newmarket_5220978-EA-000,51ee2a79-4693-410c-9287-66940847736d,New World Newmarket,New World,Central Auckland,5220978-EA-000,Natural Hot Smoked Salmon,Pams,150g,14.39,Fresh Seafood
new_world_newmarket_5105409-KGM-000,51ee2a79-4693-410c-9287-66940847736d,New World Newmarket,New World,Central Auckland,5105409-KGM-000,Fresh Bluff Salmon Fillets Skin On Bone In,,kg,69.99,Fresh Seafood
new_world_newmarket_5333249-EA-000,51ee2a79-4693-410c-9287-66940847736d,New World Newmarket,New World,Central Auckland,5333249-EA-000,Tuna Fillet In Broth Wet Cat Food,Applaws,70g,2.49,Fresh Seafood
new_world_newmarket_5333248-EA-000,51ee2a79-4693-410c-9287-66940847736d,New World Newmarket,New World,Central Auckland,5333248-EA-000,Tuna Fillet With Prawn In Broth Wet Cat Food,Applaws,70g,2.49,Fresh Seafood
new_world_newmarket_5117267-KGM-000,51ee2a79-4693-410c-9287-66940847736d,New World Newmarket,New World,Central Auckland,5117267-KGM-000,Yellowfin Tuna Steaks,,kg,39.99,Beef & Lamb
new_world_newmarket_5249296-EA-000,51ee2a79-4693-410c-9287-66940847736d,New World Newmarket,New World,Central Auckland,5249296-EA-000,Raw Prawn Cutlets,Shore Mariner,500g,11.99,Fresh Seafood
new_world_newmarket_5029377-EA-000,51ee2a79-4693-410c-9287-66940847736d,New World Newmarket,New World,Central Auckland,5029377-EA-000,Cooked Prawn Cutlets,Shore Mariner,400g,11.79,Fresh Seafood
new_world_newmarket_5220974-EA-000,51ee2a79-4693-410c-9287-66940847736d,New World Newmarket,New World,Central Auckland,5220974-EA-000,Raw Frozen Prawns Cutlet,Pams Finest,500g,17.79,Frozen Foods
new_world_newmarket_5092259-EA-000,51ee2a79-4693-410c-9287-66940847736d,New World Newmarket,New World,Central Auckland,5092259-EA-000,Premium Raw Stir Fry Prawns,Kingfisher Seafood,500g,15.99,Fresh Seafood
new_world_newmarket_5029412-EA-000,51ee2a79-4693-410c-9287-66940847736d,New World Newmarket,New World,Central Auckland,5029412-EA-000,Cooked & Peeled Prawns,Pams,300g,10.39,Fresh Seafood
new_world_newmarket_5230508-EA-000,51ee2a79-4693-410c-9287-66940847736d,New World Newmarket,New World,Central Auckland,5230508-EA-000,Adult Broths Tuna Shrimp & Whitefish Wet Cat Food,Purina Fancy Feast,40g,2.39,Fresh Seafood
new_world_newmarket_5254092-EA-000,51ee2a79-4693-410c-9287-66940847736d,New World Newmarket,New World,Central Auckland,5254092-EA-000,Perfect Portions Pate Entree With Delicate Whitefish And Tuna Wet Cat Food,Dine,75g,2.29,Fresh Seafood
