primary_key,store_id,store_name,product_id,product_name,brand,size,price,category
pakn_save_5003754-EA-000,92086ded-a55d-4241-a364-7d7ea91531b4,PAK'nSAVE Lincoln Road,5003754-EA-000,High Grade Flour,Pams,1.5kg,1.89,Baking Supplies & Sugar
pakn_save_5003830-EA-000,92086ded-a55d-4241-a364-7d7ea91531b4,PAK'nSAVE Lincoln Road,5003830-EA-000,Pure Plain Flour,Pams,5kg,6.49,Baking Supplies & Sugar
pakn_save_5003844-EA-000,92086ded-a55d-4241-a364-7d7ea91531b4,PAK'nSAVE Lincoln Road,5003844-EA-000,Self Raising Flour,Pams,1.5kg,2.19,Baking Supplies & Sugar
pakn_save_5004938-EA-000,92086ded-a55d-4241-a364-7d7ea91531b4,PAK'nSAVE Lincoln Road,5004938-EA-000,High Grade Flour,Pams,5kg,6.49,Baking Supplies & Sugar
pakn_save_5003885-EA-000,92086ded-a55d-4241-a364-7d7ea91531b4,PAK'nSAVE Lincoln Road,5003885-EA-000,White Sugar,Pams,1.5kg,2.99,Baking Supplies & Sugar
pakn_save_5003683-EA-000,92086ded-a55d-4241-a364-7d7ea91531b4,PAK'nSAVE Lincoln Road,5003683-EA-000,Soft Brown Sugar,Pams,1kg,2.19,Baking Supplies & Sugar
pakn_save_5003834-EA-000,92086ded-a55d-4241-a364-7d7ea91531b4,PAK'nSAVE Lincoln Road,5003834-EA-000,Raw Sugar,Pams,1kg,2.19,Baking Supplies & Sugar
pakn_save_5004782-EA-000,92086ded-a55d-4241-a364-7d7ea91531b4,PAK'nSAVE Lincoln Road,5004782-EA-000,White Sugar,Pams,3kg,6.19,Baking Supplies & Sugar
pakn_save_5002760-EA-000,92086ded-a55d-4241-a364-7d7ea91531b4,PAK'nSAVE Lincoln Road,5002760-EA-000,White Sugar,Chelsea,1.5kg,3.29,Baking Supplies & Sugar
pakn_save_5343765-EA-000,92086ded-a55d-4241-a364-7d7ea91531b4,PAK'nSAVE Lincoln Road,5343765-EA-000,Rolled Oats,Pams,1.5kg,4.49,Breakfast Cereals
pakn_save_5343766-EA-000,92086ded-a55d-4241-a364-7d7ea91531b4,PAK'nSAVE Lincoln Road,5343766-EA-000,Rolled Oats,Pams,750g,2.29,Breakfast Cereals
pakn_save_5016454-EA-000,92086ded-a55d-4241-a364-7d7ea91531b4,PAK'nSAVE Lincoln Road,5016454-EA-000,Wholegrain Oats,Pams,1kg,3.69,Breakfast Cereals
pakn_save_5011855-EA-000,92086ded-a55d-4241-a364-7d7ea91531b4,PAK'nSAVE Lincoln Road,5011855-EA-000,Rolled Oats,Harraways,1.5kg,5.19,Breakfast Cereals
pakn_save_5005002-EA-000,92086ded-a55d-4241-a364-7d7ea91531b4,PAK'nSAVE Lincoln Road,5005002-EA-000,Creamy Oats,Pams,800g,3.29,Breakfast Cereals
